Loan_ID,Group_ID,Group_Size,Years_in_Group,Group_Savings,Group_Loan_Repayment_Rate,Meeting_Attendance_Pct,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000198,WSHG0152,10,9,52216.83,0.72,69.7,Female,No,0,Graduate,No,2645,449,352.0,360,1.0,Semiurban,N
LP000199,WSHG0059,18,9,9074.9,0.98,73.7,Female,Yes,2,Not Graduate,Yes,10602,893,235.0,240,1.0,Rural,Y
LP000200,WSHG0118,17,8,61148.39,0.93,92.7,Female,No,1,Not Graduate,Yes,6950,3212,303.0,360,1.0,Urban,Y
LP000201,WSHG0160,11,11,28819.01,0.99,67.0,Female,No,1,Graduate,No,3066,1184,184.0,480,1.0,Semiurban,Y
LP000202,WSHG0096,18,14,5010.1,0.7,93.5,Female,Yes,1,Not Graduate,Yes,4505,3223,208.0,300,1.0,Semiurban,Y
LP000203,WSHG0180,16,12,43334.69,0.99,54.4,Female,No,0,Graduate,No,6007,1308,89.0,480,1.0,Semiurban,Y
LP000204,WSHG0113,18,10,8513.89,0.77,88.8,Female,Yes,2,Not Graduate,No,5748,4705,103.0,120,0.0,Semiurban,N
LP000205,WSHG0062,15,9,25712.72,0.74,92.4,Female,Yes,3+,Graduate,No,9783,916,78.0,360,1.0,Rural,Y
LP000206,WSHG0186,15,2,58023.24,0.62,59.1,Female,Yes,0,Not Graduate,No,5492,147,300.0,300,0.0,Semiurban,N
LP000207,WSHG0052,13,6,9701.72,0.62,71.5,Female,Yes,1,Not Graduate,Yes,10022,4751,102.0,300,1.0,Semiurban,Y
LP000208,WSHG0012,19,4,67950.39,0.88,58.3,Female,Yes,1,Graduate,Yes,9527,2114,225.0,240,0.0,Semiurban,Y
LP000209,WSHG0039,19,14,5286.49,0.78,85.3,Female,Yes,1,Not Graduate,No,7260,4016,208.0,300,1.0,Rural,Y
LP000210,WSHG0130,11,4,23511.79,0.69,76.8,Female,Yes,0,Not Graduate,Yes,10646,3940,77.0,240,1.0,Urban,Y
LP000211,WSHG0131,16,5,60567.8,0.85,81.8,Female,Yes,2,Graduate,No,9545,4071,101.0,480,1.0,Rural,Y
LP000212,WSHG0113,14,12,28720.26,0.7,59.8,Female,No,1,Graduate,No,4477,2795,142.0,360,1.0,Rural,Y
LP000213,WSHG0101,15,3,12641.93,0.83,60.6,Female,No,1,Not Graduate,No,6847,442,274.0,180,1.0,Urban,Y
LP000214,WSHG0113,11,14,32017.54,0.74,52.1,Female,Yes,1,Not Graduate,Yes,5789,2944,338.0,180,1.0,Urban,Y
LP000215,WSHG0184,14,1,25279.5,0.93,66.1,Female,Yes,0,Graduate,Yes,2029,3936,188.0,360,,Rural,Y
LP000216,WSHG0081,19,8,68203.39,0.93,78.0,Female,Yes,0,Graduate,Yes,4392,398,303.0,300,1.0,Urban,Y
LP000217,WSHG0187,13,5,28501.09,0.79,92.9,Female,Yes,2,Graduate,Yes,10958,1151,297.0,240,1.0,Rural,Y
LP000218,WSHG0113,18,3,64169.94,0.74,83.3,Female,No,0,Not Graduate,,8943,3792,333.0,360,1.0,Semiurban,Y
LP000219,WSHG0002,15,10,71890.41,0.75,71.8,Female,No,2,Graduate,No,11165,2995,59.0,300,1.0,Semiurban,Y
LP000220,WSHG0130,11,14,37536.31,0.92,97.7,Female,Yes,1,Not Graduate,No,6234,2216,126.0,240,1.0,Semiurban,Y
LP000221,WSHG0054,10,7,73245.74,0.73,86.0,Female,Yes,1,Not Graduate,Yes,11289,1707,280.0,360,1.0,Semiurban,Y
LP000222,WSHG0087,14,7,33298.85,0.68,96.5,Female,Yes,1,Graduate,Yes,4025,3331,36.0,360,1.0,Rural,Y
LP000223,WSHG0129,18,1,77305.88,0.63,76.4,Female,Yes,1,Not Graduate,,5261,1987,,180,1.0,Rural,Y
LP000224,WSHG0147,15,12,11696.71,0.79,62.9,Female,Yes,0,Graduate,Yes,7641,4602,142.0,480,1.0,Semiurban,Y
LP000225,WSHG0126,19,9,56526.44,0.79,52.6,Female,No,1,Not Graduate,Yes,4242,2568,288.0,360,0.0,Rural,N
LP000226,WSHG0130,16,2,42036.05,0.94,86.3,Female,No,2,Graduate,No,6135,160,136.0,240,1.0,Urban,Y
LP000227,WSHG0053,14,5,34073.66,0.69,56.1,Female,Yes,2,Not Graduate,No,5925,4435,92.0,240,0.0,Semiurban,N
LP000228,WSHG0172,19,13,52453.39,0.75,65.1,Female,Yes,0,Not Graduate,Yes,10161,3904,387.0,180,1.0,Rural,Y
LP000229,WSHG0160,15,14,57789.28,0.92,76.6,Female,No,1,Graduate,No,5330,3573,300.0,300,0.0,Semiurban,Y
LP000230,WSHG0198,14,5,5327.25,0.93,78.2,Female,Yes,0,Graduate,Yes,8492,3177,228.0,180,0.0,Rural,N
LP000231,WSHG0160,18,14,17521.48,0.75,80.0,Female,Yes,0,Graduate,No,2033,1825,376.0,300,1.0,Rural,Y
LP000232,WSHG0068,15,8,58478.45,0.78,58.3,Female,Yes,0,Graduate,Yes,6062,3924,366.0,180,1.0,Rural,Y
LP000233,WSHG0183,17,14,54978.91,0.72,69.0,Female,No,3+,Not Graduate,Yes,8620,1623,175.0,360,1.0,Urban,Y
LP000234,WSHG0184,11,8,77453.56,0.97,80.9,Female,Yes,0,Not Graduate,No,8063,1176,90.0,360,1.0,Rural,Y
LP000235,WSHG0123,18,14,62077.83,0.65,98.5,Female,No,0,Not Graduate,Yes,8789,4918,149.0,360,0.0,Rural,N
LP000236,WSHG0145,14,7,76307.95,0.97,86.4,Female,No,0,Not Graduate,No,5587,3720,90.0,360,0.0,Rural,Y
LP000237,WSHG0038,16,7,57690.54,0.87,96.1,Female,No,0,Not Graduate,No,10453,4880,338.0,480,1.0,Rural,Y
LP000238,WSHG0024,19,12,27353.92,0.81,88.1,Female,,2,Not Graduate,No,10582,3220,55.0,360,0.0,Rural,N
LP000239,WSHG0069,10,11,12902.37,0.61,79.6,Female,Yes,0,Graduate,No,3855,3259,144.0,300,0.0,Urban,N
LP000240,WSHG0116,19,6,63636.79,0.79,59.6,Female,Yes,0,Graduate,Yes,3455,130,69.0,300,1.0,Urban,Y
LP000241,WSHG0098,14,6,53311.19,0.76,83.3,Female,No,,Graduate,No,4471,3562,373.0,360,1.0,Rural,Y
LP000242,WSHG0198,19,11,8613.95,0.66,81.2,Female,No,1,Not Graduate,Yes,7039,1499,145.0,180,1.0,Semiurban,Y
LP000243,WSHG0139,11,9,32003.78,0.86,80.1,Female,Yes,2,Graduate,Yes,8993,2788,165.0,300,1.0,Urban,Y
LP000244,WSHG0144,15,6,76759.99,0.99,74.5,Female,Yes,1,Graduate,No,3172,4876,306.0,360,1.0,Rural,Y
LP000245,WSHG0097,10,12,42530.09,0.82,76.4,Female,No,,Graduate,Yes,4336,3708,328.0,360,1.0,Rural,Y
LP000246,WSHG0124,12,13,37454.69,0.89,66.7,Female,No,2,Not Graduate,Yes,6427,1707,,360,1.0,Urban,Y
LP000247,WSHG0187,14,13,39327.47,0.63,76.0,Female,Yes,0,Graduate,Yes,6439,1769,60.0,300,1.0,Semiurban,Y
LP000248,WSHG0070,13,2,20666.2,0.77,59.9,Female,Yes,1,Graduate,No,5144,1318,276.0,180,0.0,Rural,N
LP000249,WSHG0093,12,2,32653.04,0.65,90.3,Female,Yes,1,Graduate,No,3797,3379,56.0,480,1.0,Rural,Y
LP000250,WSHG0003,19,13,32735.99,0.85,59.3,Female,Yes,0,Graduate,Yes,5561,2773,102.0,180,1.0,Rural,Y
LP000251,WSHG0148,14,5,8926.63,0.98,54.2,Female,Yes,2,Not Graduate,Yes,4666,2990,126.0,180,0.0,Rural,N
LP000252,WSHG0187,17,4,62567.57,0.86,71.8,Female,Yes,3+,Graduate,No,11011,3044,190.0,300,1.0,Semiurban,Y
LP000253,WSHG0164,13,11,36237.83,0.63,82.9,Female,Yes,3+,Graduate,Yes,1683,375,375.0,360,1.0,Semiurban,Y
LP000254,WSHG0147,10,2,66663.49,0.74,71.9,Female,Yes,2,Not Graduate,Yes,10975,3036,329.0,360,1.0,Semiurban,Y
LP000255,WSHG0090,16,3,68776.1,0.82,63.8,Female,No,,Graduate,Yes,4346,660,328.0,480,1.0,Rural,Y
LP000256,WSHG0195,17,7,20899.55,0.76,77.9,Female,No,0,Graduate,Yes,11925,1403,316.0,180,0.0,Rural,N
LP000257,WSHG0147,12,8,54301.51,0.93,67.4,Female,Yes,0,Not Graduate,Yes,11124,740,241.0,300,1.0,Rural,Y
LP000258,WSHG0148,15,12,40421.14,0.93,96.6,Female,Yes,1,Graduate,No,11488,303,105.0,240,1.0,Urban,Y
LP000259,WSHG0096,11,13,71011.76,0.84,96.1,Female,No,1,Graduate,Yes,6222,1085,,360,1.0,Semiurban,Y
LP000260,WSHG0199,16,6,21180.55,0.75,75.1,Female,Yes,3+,Graduate,No,11747,4881,63.0,300,0.0,Rural,N
LP000261,WSHG0052,17,11,55835.99,0.7,66.4,Female,No,1,Not Graduate,No,2282,3179,365.0,120,1.0,Rural,Y
LP000262,WSHG0161,15,5,50581.41,0.64,86.9,Female,No,1,Not Graduate,No,3007,1210,33.0,360,0.0,Urban,N
LP000263,WSHG0168,15,13,27147.61,0.74,51.8,Female,Yes,1,Not Graduate,Yes,7355,3034,357.0,300,1.0,Semiurban,N
LP000264,WSHG0128,14,1,15245.07,0.77,73.7,Female,No,2,Not Graduate,Yes,9038,228,127.0,360,0.0,Rural,N
LP000265,WSHG0039,17,8,53872.98,0.87,66.8,Female,Yes,2,Graduate,Yes,2176,3119,395.0,360,1.0,Rural,Y
LP000266,WSHG0082,10,3,60394.81,0.86,96.0,Female,,2,Graduate,No,8750,1854,246.0,240,1.0,Rural,Y
LP000267,WSHG0104,19,6,28672.05,0.63,50.6,Female,Yes,1,Not Graduate,Yes,11522,267,57.0,240,1.0,Urban,Y
LP000268,WSHG0129,13,3,53362.45,0.76,77.6,Female,Yes,2,Not Graduate,Yes,9313,2774,230.0,240,0.0,Semiurban,N
LP000269,WSHG0011,13,7,34634.82,0.67,87.0,Female,No,0,Graduate,Yes,5590,2849,302.0,300,1.0,Semiurban,Y
LP000270,WSHG0185,12,13,58490.52,0.66,74.3,Female,Yes,3+,Not Graduate,Yes,7223,4349,343.0,180,0.0,Urban,N
LP000271,WSHG0178,12,14,19941.15,0.93,54.3,Female,Yes,1,Graduate,Yes,11052,4965,156.0,360,1.0,Urban,Y
LP000272,WSHG0151,13,7,71766.13,0.62,98.6,Female,Yes,1,Graduate,Yes,4186,2134,231.0,240,1.0,Rural,Y
LP000273,WSHG0159,10,12,26555.72,0.77,75.9,Female,No,1,Graduate,Yes,9882,3459,38.0,480,1.0,Rural,Y
LP000274,WSHG0042,11,9,32583.95,0.67,80.7,Female,Yes,2,Graduate,Yes,10534,2269,316.0,240,1.0,Semiurban,Y
LP000275,WSHG0099,18,5,9356.9,0.95,61.8,Female,Yes,0,Not Graduate,Yes,10026,989,117.0,240,1.0,Rural,Y
LP000276,WSHG0007,19,8,13363.42,0.82,74.2,Female,No,3+,Not Graduate,No,9189,4492,347.0,240,1.0,Semiurban,Y
LP000277,WSHG0144,11,10,43689.64,0.69,71.5,Female,Yes,1,Graduate,Yes,2610,937,48.0,360,1.0,Urban,N
LP000278,WSHG0090,14,10,25069.45,0.8,53.7,Female,No,1,Graduate,Yes,2078,439,110.0,300,0.0,Semiurban,N
LP000279,WSHG0112,18,8,67661.02,0.89,55.3,Female,Yes,0,Not Graduate,Yes,1561,2358,136.0,360,1.0,Rural,Y
LP000280,WSHG0060,18,1,6102.0,0.98,91.9,Female,No,1,Graduate,Yes,1886,2007,340.0,360,1.0,Rural,Y
LP000281,WSHG0113,17,12,33432.05,0.69,62.0,Female,No,1,Not Graduate,No,10861,3345,259.0,480,0.0,Rural,N
LP000282,WSHG0002,10,5,30300.92,0.95,59.7,Female,Yes,1,Graduate,Yes,3700,4130,141.0,360,1.0,Urban,Y
LP000283,WSHG0129,10,3,6449.57,0.97,75.2,Female,Yes,2,Not Graduate,No,3183,4816,249.0,180,1.0,Rural,Y
LP000284,WSHG0048,18,1,14327.63,0.97,88.4,Female,No,1,Graduate,No,7821,3743,152.0,360,1.0,Rural,Y
LP000285,WSHG0140,17,4,36023.2,0.85,53.1,Female,Yes,3+,Graduate,No,9556,518,273.0,480,1.0,Rural,Y
LP000286,WSHG0197,19,8,41964.84,0.85,78.8,Female,No,1,Graduate,Yes,10178,268,207.0,480,1.0,Urban,Y
LP000287,WSHG0037,18,3,35321.73,0.76,56.0,Female,Yes,2,Graduate,Yes,8914,4733,94.0,180,1.0,Semiurban,Y
LP000288,WSHG0160,16,10,44820.33,0.9,51.8,Female,Yes,0,Graduate,No,8143,4185,32.0,360,0.0,Urban,N
LP000289,WSHG0009,12,2,49634.88,0.81,52.6,Female,Yes,1,Not Graduate,Yes,10232,1388,236.0,240,1.0,Semiurban,Y
LP000290,WSHG0099,12,11,5744.29,0.87,91.7,Female,No,1,Graduate,No,7131,1694,50.0,240,1.0,Semiurban,Y
LP000291,WSHG0147,11,9,39807.14,0.77,55.9,Female,Yes,1,Graduate,No,9445,3273,322.0,360,0.0,Rural,N
LP000292,WSHG0048,14,10,77262.44,0.89,52.3,Female,No,3+,Not Graduate,No,11752,1389,44.0,480,1.0,Rural,Y
LP000293,WSHG0131,12,5,43927.42,0.93,71.9,Female,No,0,Not Graduate,Yes,9226,3865,372.0,360,1.0,Semiurban,Y
LP000294,WSHG0148,15,14,55815.67,0.66,92.2,Female,Yes,0,Not Graduate,No,6669,3029,235.0,360,0.0,Urban,N
LP000295,WSHG0152,11,7,28389.79,0.93,63.1,Female,Yes,3+,Not Graduate,No,10930,2335,231.0,120,1.0,Rural,Y
LP000296,WSHG0054,12,11,63049.35,0.82,71.1,Female,No,0,Not Graduate,No,10682,3674,149.0,120,0.0,Rural,N
LP000297,WSHG0120,14,11,62969.11,0.94,52.0,Female,Yes,2,Not Graduate,Yes,8287,4576,166.0,360,1.0,Semiurban,Y
LP000298,WSHG0161,10,2,44097.2,0.77,72.5,Female,No,1,Not Graduate,Yes,5967,500,329.0,300,1.0,Rural,N
LP000299,WSHG0152,10,9,78201.04,0.75,78.9,Female,Yes,2,Not Graduate,Yes,6732,1661,324.0,360,1.0,Semiurban,Y
LP000300,WSHG0116,19,13,14416.27,0.97,78.5,Female,Yes,0,Graduate,Yes,11991,2099,54.0,300,1.0,Rural,Y
LP000301,WSHG0075,18,9,6271.07,0.7,66.6,Female,No,0,Graduate,Yes,9630,102,341.0,300,1.0,Rural,Y
LP000302,WSHG0113,16,4,62761.87,0.94,65.8,Female,Yes,1,Graduate,No,7696,2746,263.0,360,,Rural,N
LP000303,WSHG0200,10,4,65536.67,0.79,55.3,Female,Yes,3+,Not Graduate,Yes,5407,3276,150.0,240,,Semiurban,Y
LP000304,WSHG0164,17,6,14015.54,0.81,68.3,Female,Yes,1,Not Graduate,No,5788,3085,119.0,480,1.0,Semiurban,N
LP000305,WSHG0166,12,10,24918.71,0.72,55.0,Female,Yes,1,Not Graduate,Yes,8234,3537,349.0,300,0.0,Rural,N
LP000306,WSHG0104,17,10,6316.43,0.83,88.3,Female,Yes,2,Graduate,Yes,2580,1327,229.0,300,1.0,Urban,N
LP000307,WSHG0084,14,10,26998.15,0.73,98.3,Female,,,Not Graduate,Yes,7740,2474,209.0,360,1.0,Rural,Y
LP000308,WSHG0112,10,6,62985.64,0.62,98.5,Female,Yes,2,Not Graduate,Yes,1697,1679,374.0,300,1.0,Rural,Y
LP000309,WSHG0099,16,12,43847.04,0.71,93.3,Female,Yes,3+,Graduate,No,9314,3746,397.0,360,1.0,Semiurban,Y
LP000310,WSHG0153,14,1,31107.17,0.6,80.0,Female,No,0,Not Graduate,Yes,11886,2562,105.0,180,0.0,Rural,N
LP000311,WSHG0093,15,14,32880.45,0.99,85.0,Female,Yes,0,Graduate,No,9351,4163,166.0,240,1.0,Semiurban,Y
LP000312,WSHG0146,15,14,5101.52,0.99,64.3,Female,Yes,2,Not Graduate,Yes,11290,3317,167.0,480,0.0,Urban,N
LP000313,WSHG0128,17,9,27485.04,0.76,81.5,Female,No,2,Not Graduate,No,3100,2436,39.0,360,1.0,Semiurban,Y
LP000314,WSHG0110,18,2,53484.41,0.89,72.8,Female,No,0,Not Graduate,Yes,8962,307,230.0,300,1.0,Semiurban,Y
LP000315,WSHG0082,11,5,78064.58,0.74,74.1,Female,Yes,0,Not Graduate,Yes,8366,3996,,360,1.0,Semiurban,Y
LP000316,WSHG0194,18,9,68529.56,0.87,87.9,Female,Yes,,Not Graduate,Yes,5192,1089,375.0,480,0.0,Rural,N
LP000317,WSHG0054,19,4,6769.62,0.92,64.1,Female,Yes,0,Not Graduate,Yes,10375,4555,248.0,240,1.0,Rural,Y
LP000318,WSHG0163,18,11,72392.05,0.98,65.9,Female,Yes,1,Graduate,Yes,4583,2394,89.0,180,1.0,Rural,Y
LP000319,WSHG0189,19,3,63739.88,0.76,96.2,Female,Yes,1,Not Graduate,No,5489,4004,176.0,360,1.0,Urban,Y
LP000320,WSHG0169,19,7,63528.21,0.91,52.8,Female,Yes,1,Graduate,No,1832,666,136.0,180,1.0,Rural,Y
LP000321,WSHG0161,16,6,39349.68,0.71,74.3,Female,Yes,2,Graduate,No,11463,4163,67.0,240,1.0,Semiurban,Y
LP000322,WSHG0068,10,8,34850.4,1.0,95.6,Female,Yes,1,Not Graduate,Yes,7606,2234,163.0,360,1.0,Urban,Y
LP000323,WSHG0033,16,3,27718.68,0.61,80.5,Female,Yes,2,Not Graduate,Yes,8833,1236,250.0,120,0.0,Semiurban,N
LP000324,WSHG0142,19,5,9927.11,0.84,77.3,Female,No,1,Graduate,Yes,8155,1623,332.0,360,1.0,Urban,Y
LP000325,WSHG0021,14,10,22117.65,0.86,62.5,Female,Yes,1,Graduate,No,6808,1374,162.0,360,,Semiurban,Y
LP000326,WSHG0048,15,4,23495.27,0.88,67.2,Female,Yes,2,Graduate,No,5700,3311,363.0,360,1.0,Rural,Y
LP000327,WSHG0148,19,13,41305.78,0.65,92.6,Female,Yes,0,Graduate,No,4221,176,82.0,360,1.0,Urban,Y
LP000328,WSHG0128,16,4,61058.33,0.98,78.0,Female,Yes,0,Graduate,No,10498,1353,91.0,300,0.0,Rural,Y
LP000329,WSHG0136,14,4,40535.74,0.67,75.7,Female,No,0,Not Graduate,Yes,2564,2928,52.0,180,1.0,Rural,Y
LP000330,WSHG0135,16,10,9338.33,0.85,55.0,Female,Yes,0,Graduate,Yes,10580,625,73.0,180,,Semiurban,Y
LP000331,WSHG0195,18,8,76834.24,0.69,50.8,Female,Yes,1,Not Graduate,Yes,8320,2654,337.0,360,1.0,Semiurban,Y
LP000332,WSHG0145,12,6,75704.32,0.72,98.2,Female,Yes,2,Graduate,Yes,10012,3608,75.0,240,0.0,Urban,N
LP000333,WSHG0128,17,3,63889.22,0.82,68.8,Female,No,2,Not Graduate,Yes,5457,3715,176.0,120,0.0,Urban,N
LP000334,WSHG0033,11,10,79349.59,0.77,80.2,Female,Yes,2,Graduate,Yes,3882,4274,245.0,480,1.0,Urban,Y
LP000335,WSHG0176,16,5,45836.17,0.66,54.0,Female,Yes,1,Graduate,No,4731,394,369.0,480,1.0,Rural,Y
LP000336,WSHG0187,11,6,77207.63,0.67,84.2,Female,Yes,1,Graduate,No,8508,1168,76.0,300,1.0,Semiurban,Y
LP000337,WSHG0115,13,5,10670.38,0.77,96.6,Female,Yes,1,Not Graduate,No,3000,4971,376.0,120,1.0,Semiurban,Y
LP000338,WSHG0119,16,6,32426.06,0.9,78.8,Female,Yes,0,Not Graduate,No,3068,197,337.0,360,1.0,Urban,Y
LP000339,WSHG0022,12,8,21903.6,0.96,56.3,Female,Yes,0,Graduate,Yes,7392,968,53.0,360,1.0,Rural,Y
LP000340,WSHG0158,11,7,19687.48,0.63,79.1,Female,No,1,Graduate,Yes,4781,3908,174.0,180,1.0,Rural,Y
LP000341,WSHG0038,19,5,15560.22,0.76,88.3,Female,No,3+,Graduate,,11211,3155,118.0,180,1.0,Urban,Y
LP000342,WSHG0109,16,10,51681.02,0.64,70.3,Female,Yes,0,Not Graduate,,11610,4764,203.0,360,1.0,Rural,Y
LP000343,WSHG0051,10,6,63599.14,0.61,94.0,Female,Yes,0,Not Graduate,Yes,5589,2504,93.0,480,1.0,Semiurban,Y
LP000344,WSHG0182,17,14,48372.38,0.86,82.4,Female,Yes,2,Graduate,Yes,3365,1276,148.0,360,1.0,Rural,Y
LP000345,WSHG0008,12,4,16022.2,0.84,95.0,Female,No,0,Graduate,Yes,11097,4167,252.0,240,1.0,Rural,Y
LP000346,WSHG0027,11,12,65834.28,0.67,81.2,Female,Yes,2,Graduate,Yes,7100,4318,185.0,300,1.0,Semiurban,Y
LP000347,WSHG0027,12,9,52696.6,0.69,56.6,Female,No,2,Graduate,Yes,7555,1269,207.0,360,1.0,Rural,Y
LP000348,WSHG0021,14,13,34112.43,0.61,65.5,Female,Yes,3+,Not Graduate,Yes,1504,1364,349.0,240,1.0,Semiurban,N
LP000349,WSHG0030,17,4,55559.77,0.93,60.1,Female,Yes,1,Graduate,,9459,923,371.0,240,1.0,Rural,Y
LP000350,WSHG0097,19,1,24492.87,0.99,95.4,Female,Yes,,Graduate,Yes,2668,470,85.0,240,1.0,Rural,Y
LP000351,WSHG0028,16,7,30889.42,0.65,88.0,Female,Yes,1,Graduate,Yes,3898,3016,88.0,360,0.0,Rural,N
LP000352,WSHG0111,16,7,73811.44,0.69,83.8,Female,No,2,Not Graduate,Yes,4130,2054,,360,1.0,Semiurban,Y
LP000353,WSHG0192,16,4,26787.84,0.95,65.0,Female,No,1,Not Graduate,Yes,8108,4283,214.0,360,1.0,Rural,Y
LP000354,WSHG0197,17,13,40249.12,0.97,59.2,Female,Yes,0,Graduate,No,1847,2051,76.0,360,1.0,Semiurban,Y
LP000355,WSHG0061,10,14,71760.59,0.77,87.8,Female,Yes,1,Graduate,No,7361,2954,131.0,480,1.0,Semiurban,Y
LP000356,WSHG0048,13,3,58079.1,0.62,73.7,Female,No,1,Graduate,No,11505,1148,73.0,360,1.0,Semiurban,Y
LP000357,WSHG0147,15,8,9665.24,0.62,61.3,Female,No,2,Not Graduate,Yes,4842,3086,44.0,240,1.0,Semiurban,Y
LP000358,WSHG0004,18,5,16047.73,0.83,80.8,Female,Yes,2,Graduate,Yes,8000,959,265.0,300,0.0,Rural,N
LP000359,WSHG0035,11,10,5588.12,0.76,52.0,Female,Yes,2,Not Graduate,Yes,4074,629,390.0,360,1.0,Rural,N
LP000360,WSHG0192,10,7,52319.13,0.61,66.3,Female,,0,Not Graduate,Yes,5325,774,80.0,120,1.0,Semiurban,Y
LP000361,WSHG0049,19,4,38575.51,0.83,73.4,Female,Yes,2,Not Graduate,Yes,6093,359,338.0,480,1.0,Rural,Y
LP000362,WSHG0017,11,4,15070.61,0.6,57.4,Female,Yes,1,Graduate,Yes,6772,517,63.0,120,1.0,Urban,Y
LP000363,WSHG0172,16,8,76845.06,0.91,99.2,Female,Yes,3+,Not Graduate,Yes,9744,1343,153.0,300,1.0,Urban,Y
LP000364,WSHG0158,12,14,44724.48,0.72,60.5,Female,Yes,3+,Not Graduate,No,1648,1969,106.0,360,1.0,Rural,Y
LP000365,WSHG0046,19,8,23142.0,0.62,56.5,Female,Yes,0,Graduate,Yes,10194,3227,152.0,360,1.0,Semiurban,Y
LP000366,WSHG0117,11,2,42545.27,0.84,60.2,Female,Yes,2,Graduate,No,2369,2899,234.0,360,1.0,Urban,N
LP000367,WSHG0006,16,14,55971.52,0.76,88.5,Female,No,0,Graduate,Yes,5021,934,257.0,360,1.0,Rural,Y
LP000368,WSHG0099,11,2,10717.94,0.99,71.3,Female,No,1,Graduate,Yes,5371,1986,99.0,240,1.0,Semiurban,Y
LP000369,WSHG0124,12,3,25602.79,0.82,78.3,Female,Yes,1,Graduate,No,2800,4996,259.0,240,1.0,Rural,Y
LP000370,WSHG0037,16,12,65522.41,0.71,51.1,Female,No,0,Not Graduate,No,9095,376,50.0,480,,Semiurban,Y
LP000371,WSHG0024,13,12,39474.87,0.88,51.7,Female,No,2,Graduate,Yes,6333,3560,137.0,240,0.0,Urban,N
LP000372,WSHG0093,10,3,45993.29,0.71,72.3,Female,Yes,0,Not Graduate,Yes,8170,1774,393.0,240,1.0,Semiurban,Y
LP000373,WSHG0046,14,1,37461.2,0.96,90.8,Female,Yes,0,Graduate,Yes,3951,1505,270.0,300,0.0,Semiurban,N
LP000374,WSHG0181,18,14,8292.5,0.75,94.3,Female,No,,Not Graduate,Yes,5885,2654,280.0,180,1.0,Urban,Y
LP000375,WSHG0095,17,3,17431.23,0.82,54.3,Female,No,2,Graduate,No,10030,1010,164.0,360,0.0,Semiurban,N
LP000376,WSHG0099,18,6,38415.62,0.62,76.9,Female,No,3+,Not Graduate,No,4324,3477,119.0,360,1.0,Semiurban,Y
LP000377,WSHG0188,19,8,20688.91,0.77,95.7,Female,No,2,Graduate,No,8354,1230,108.0,360,,Semiurban,N
LP000378,WSHG0116,18,13,8748.43,0.93,69.4,Female,Yes,2,Graduate,Yes,11385,1177,206.0,360,1.0,Semiurban,Y
LP000379,WSHG0191,16,12,68273.72,0.92,91.5,Female,Yes,1,Not Graduate,No,7464,3857,327.0,180,1.0,Urban,Y
LP000380,WSHG0160,13,14,78589.44,0.69,56.7,Female,Yes,0,Graduate,Yes,2486,2095,337.0,300,1.0,Urban,Y
LP000381,WSHG0161,14,10,64485.72,0.69,96.8,Female,Yes,0,Not Graduate,No,9671,1672,131.0,120,1.0,Semiurban,Y
LP000382,WSHG0067,10,6,69033.87,0.93,87.6,Female,Yes,1,Not Graduate,No,4990,1928,390.0,120,1.0,Semiurban,Y
LP000383,WSHG0128,10,5,23148.28,0.97,97.1,Female,Yes,2,Not Graduate,Yes,9576,3839,364.0,300,,Rural,Y
LP000384,WSHG0018,12,4,77047.02,0.64,83.8,Female,Yes,1,Not Graduate,Yes,5267,3178,,240,1.0,Urban,Y
LP000385,WSHG0025,17,3,19769.43,0.78,68.2,Female,No,2,Not Graduate,Yes,3506,4268,,360,1.0,Semiurban,Y
LP000386,WSHG0054,11,13,76357.24,0.73,96.9,Female,Yes,1,Graduate,Yes,9425,2553,133.0,360,1.0,Semiurban,Y
LP000387,WSHG0058,13,4,79611.45,0.95,63.8,Female,Yes,0,Not Graduate,No,4607,2445,45.0,360,1.0,Rural,Y
LP000388,WSHG0067,11,14,58379.21,0.63,66.6,Female,Yes,0,Not Graduate,Yes,5968,4389,125.0,360,1.0,Urban,Y
LP000389,WSHG0104,14,7,78585.78,0.68,85.0,Female,Yes,2,Graduate,Yes,4830,551,322.0,120,0.0,Rural,N
LP000390,WSHG0174,18,1,47715.48,0.9,88.3,Female,No,2,Graduate,,10222,2897,175.0,300,0.0,Rural,N
LP000391,WSHG0024,10,7,24465.63,0.62,96.5,Female,No,3+,Not Graduate,No,2423,1039,331.0,240,0.0,Semiurban,N
LP000392,WSHG0114,14,1,37774.69,0.8,60.2,Female,No,0,Graduate,Yes,7747,884,31.0,300,0.0,Semiurban,N
LP000393,WSHG0032,18,2,49517.07,0.78,89.9,Female,Yes,3+,Graduate,No,9932,3051,148.0,240,1.0,Rural,Y
LP000394,WSHG0175,10,4,10481.12,0.73,86.9,Female,Yes,0,Graduate,No,3396,4229,372.0,180,0.0,Semiurban,N
LP000395,WSHG0086,18,1,51675.74,0.76,53.2,Female,Yes,0,Not Graduate,No,9383,4866,123.0,360,1.0,Rural,Y
LP000396,WSHG0151,17,11,78588.34,0.81,69.4,Female,Yes,3+,Graduate,Yes,4824,3597,220.0,360,1.0,Rural,Y
